,Год_сдачи,Название_квартала,Цена,Компания,Адрес,Класс_недвижимости,Площадь,Конструкция,Мин_цена,Макс_цена,Мин_площадь,Макс_площадь,Средняя_цена
77,БУДЕТ СДАН В 2021,"ЖК «Мичуринский», г. Екатеринбург","[1721350, 4396350]",АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург Евгения Савкова 75,Комфорт класс,от 19 до 83 м2,(3),1721350,4396350,19,83,3058850.0
78,БУДЕТ СДАН В 2021,"ЖК Vektori, г. Екатеринбург","[3300000, 6875170]",АО «ЮИТ Уралстрой»,г. Екатеринбург ул. Стрелочников,Комфорт класс,от 24 до 73 м2,Монолитно-кирпичный,3300000,6875170,24,73,5087585.0
79,БУДЕТ СДАН В 2021,"ЖК «Театральный», г. Березовский","[2210000, 5200000]",ГК «АктивСтройСервис»,г. Березовский ул. Восточная 11,Комфорт класс,от 27 до 85 м2,Монолитно-кирпичный,2210000,5200000,27,85,3705000.0
80,БУДЕТ СДАН В 2021,"ЖК «Петровский», г. Верхняя Пышма","[3385800, 5178000]",Элит-ГРУПП,г. Верхняя Пышма ул Петрова 34В,Комфорт класс,от 28 до 169 м2,Монолитно-кирпичный,3385800,5178000,28,169,4281900.0
81,БУДЕТ СДАН В 2021,"ЖК «Юность», г. Верхняя Пышма","[2250000, 5290000]",ГК «Астра»,г. Верхняя Пышма ул. Орджоникидзе 1,Комфорт класс,от 26 до 75 м2,Монолитно-каркасный,2250000,5290000,26,75,3770000.0
82,БУДЕТ СДАН В 2021,"ЖК «Янтарная Долина», г. Екатеринбург","[3299200, 6622390]",СТРОЙТЭК,г. Екатеринбург ул. Крауля 168,Комфорт класс,от 32 до 78 м2,Монолитно-блочный,3299200,6622390,32,78,4960795.0
83,СДАН В 2021,"ЖК «Ньютон Парк», г. Екатеринбург","[3760500, 5999600]",PRINZIP,г. Екатеринбург ул. Краснолесья 10,Комфорт класс,от 32 до 113 м2,Монолитный,3760500,5999600,32,113,4880050.0
84,БУДЕТ СДАН В 2021,"ЖК «Рябиновый Квартал», г. Екатеринбург","[2598300, 4100000]",КомСтрин,г. Екатеринбург ул. Рябинина 18,Комфорт класс,от 29 до 76 м2,Монолитно-кирпичный,2598300,4100000,29,76,3349150.0
85,БУДЕТ СДАН В 2021,"ЖК «Шишимская горка», г. Екатеринбург","[8790000, 17990000]",Брусника,г. Екатеринбург ул. Гастелло 19,Комфорт класс,от 24 до 150 м2,Монолитно-каркасный,8790000,17990000,24,150,13390000.0
86,СДАН В 2021,"ЖК «Ботанический сад», г. Екатеринбург","[14400000, 14450000]",TEN,г. Екатеринбург ул. 8 Марта 202/3,Комфорт класс,от 35 до 140 м2,Монолитно-кирпичный,14400000,14450000,35,140,14425000.0
87,БУДЕТ СДАН В 2021,"ЖК «Балтийский», г. Екатеринбург","[2980000, 8500000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Академика Вонсовского,Бизнес класс,от 42 до 106 м2,Монолитный,2980000,8500000,42,106,5740000.0
88,СДАН В 2021,"ЖК «Чемпион Парк», г. Екатеринбург","[5800000, 15000000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул Машинная 1Б,Бизнес класс,от 46 до 150 м2,Монолитный,5800000,15000000,46,150,10400000.0
89,БУДЕТ СДАН В 2021,"ЖК «Современник», г. Екатеринбург","[3490000, 7190760]",СТРОЙТЭК,г. Екатеринбург ул Раевского,Комфорт класс,от 17 до 142 м2,Каркасно-кирпичный,3490000,7190760,17,142,5340380.0
90,СДАН В 2021,"ЖК «Флагман», г. Екатеринбург","[4704000, 9000450]",АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург ул Репина 52,Комфорт класс,от 37 до 101 м2,Монолитно-кирпичный,4704000,9000450,37,101,6852225.0
91,СДАН В 2020,"ЖК «Комсомольская 67», г. Екатеринбург","[4167000, 7385000]",Первостроитель,"г. Екатеринбург ул Комсомольская 67 УГИ, 206 м",Комфорт класс,от 35 до 83 м2,Монолитный,4167000,7385000,35,83,5776000.0
92,СДАН В 2020,"ЖК «Тихий центр», г. Верхняя Пышма","[1950000, 4060000]",ГК «АктивСтройСервис»,г. Верхняя Пышма ул Красноармейская 15,Комфорт класс,от 30 до 74 м2,Монолитный,1950000,4060000,30,74,3005000.0
93,СДАН В 2020,"ЖК «Садовая Residence», г. Екатеринбург","[4250000, 8100000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул Садовая 4,Бизнес класс,от 46 до 99 м2,Монолитный,4250000,8100000,46,99,6175000.0
94,СДАН В 2020,"ЖК «Дом на бульваре», г. Екатеринбург","[5700000, 19000000]",ООО «Заказ-строй»,г. Екатеринбург б-р Верх-Исетский 18А,Комфорт класс,от 55 до 182 м2,Монолитно-кирпичный,5700000,19000000,55,182,12350000.0
95,СДАН В 2020,"ЖК «Женева», г. Екатеринбург","[5700000, 12782500]",ООО «ИнвестСтройЦентр»,г. Екатеринбург Гагаринский переулок 5,Комфорт класс,от 48 до 103 м2,Монолитный,5700000,12782500,48,103,9241250.0
96,СДАН В 2020,"ЖК «Сириус», г. Екатеринбург","[2900000, 5556600]",ЗАО «Среднеуральская строительная компания (ССК)»,г. Екатеринбург пер. Широкий 6,Комфорт класс,от 32 до 78 м2,Кирпичный,2900000,5556600,32,78,4228300.0
97,СДАН В 2020,"Клубный дом на Ленина, г. Екатеринбург","[5894100, 10578000]",ООО «Синара-Девелопмент»,г. Екатеринбург ул. Ленина 99а,Комфорт класс,от 44 до 106 м2,Монолитный,5894100,10578000,44,106,8236050.0
98,СДАН В 2020,"ЖК «Даниловский», г. Екатеринбург","[3570000, 7588000]",ООО «Синара-Девелопмент»,г. Екатеринбург ул Данилы Зверева 17а,Комфорт класс,от 40 до 102 м2,Монолитно-кирпичный,3570000,7588000,40,102,5579000.0
99,СДАН В 2020,"ЖК «Навигатор», г. Екатеринбург",[5080000],ООО «СК Союз»,г. Екатеринбург ул. Миасская 12,Комфорт класс,от 25 до 70 м2,Монолитный,5080000,0,25,70,5080000.0
100,СДАН В 2020,"ЖК «Новая Жизнь-Победа», пгт Верхнее Дуброво","[958000, 1680000]",ЖСК «Новая Жизнь – Победа!»,Белоярский р-н рп Верхнее Дуброво ул. Уральская,Эконом класс,от 19 до 50 м2,Блочный,958000,1680000,19,50,1319000.0
101,СДАН В 2020,"ЖК «Рио», г. Екатеринбург",[3350000],СТРОЙТЭК,г. Екатеринбург ул. Хрустальногорская 88,Комфорт класс,от 23 до 112 м2,Монолитный,3350000,0,23,112,3350000.0
102,СДАН В 2020,"ЖК «Сказка», г. Екатеринбург","[5370000, 7007000]",TEN,г. Екатеринбург ул. Новгородцевой,Комфорт класс,от 37 до 89 м2,Монолитный,5370000,7007000,37,89,6188500.0
103,СДАН В 2020,"ЖК «Бриз», г. Екатеринбург","[5070000, 9500000]",АТОМСТРОЙКОМПЛЕКС,"г. Екатеринбург ул. Ирбитская 11, 11/3, 13",Комфорт класс,от 45 до 125 м2,Монолитный,5070000,9500000,45,125,7285000.0
104,СДАН В 2020,"ЖК «Суходольский», г. Екатеринбург","[3300000, 7000000]",Брусника,г. Екатеринбург ул. Евгения Савкова 29,Комфорт класс,от 25 до 102 м2,Монолитно-кирпичный,3300000,7000000,25,102,5150000.0
105,СДАН В 2020,"ЖК «Гринвуд», г. Екатеринбург","[2060000, 6500000]",АЛЬТА,г. Екатеринбург Прониной 27,Комфорт класс,от 29 до 90 м2,Блочный,2060000,6500000,29,90,4280000.0
106,СДАН В 2020,"ЖК «Просторы», г. Екатеринбург","[3450000, 7150000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул Водоемная,Комфорт класс,от 34 до 121 м2,Монолитно-кирпичный,3450000,7150000,34,121,5300000.0
107,СДАН В 2020,ЖК «Малевич» г. Екатеринбург,"[4087500, 7785900]",PRINZIP,г. Екатеринбург пер Трамвайный 2,Комфорт класс,от 42 до 100 м2,Монолитный,4087500,7785900,42,100,5936700.0
108,СДАН В 2020,"ЖК «Квартет», г. Екатеринбург","[2750000, 5300000]",АО «ЮИТ Санкт-Петербург»,г. Екатеринбург ул Таватуйская 25,Комфорт класс,от 31 до 69 м2,Монолитный,2750000,5300000,31,69,4025000.0
109,СДАН В 2020,"ЖК «Просторы», г. Екатеринбург","[3690000, 6590000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Водоемная,Комфорт класс,от 30 до 127 м2,Монолитный,3690000,6590000,30,127,5140000.0
110,БУДЕТ СДАН В 2025,"ЖК «Балтым-Парк», г. Верхняя Пышма","[2975260, 6540000]",АО «ЮИТ Санкт-Петербург»,г. Верхняя Пышма ул. Васильковая 4,Комфорт класс,от 38 до 85 м2,Монолитный,2975260,6540000,38,85,4757630.0
111,ЗАПЛАНИРОВАН,"ЖК «На Новосибирской», г. Екатеринбург",Продано,СТРОЙТЭК,г. Екатеринбург ул 2-я Новосибирская,Комфорт класс,от 30 до 90 м2,Монолитный,0,0,30,90,0.0
112,БУДЕТ СДАН В 2023,"ЖК Rauta, г. Екатеринбург","[1936000, 5296000]",АО «ЮИТ Санкт-Петербург»,г. Екатеринбург ул. Надеждинская,Комфорт класс,от 26 до 69 м2,Монолитно-кирпичный,1936000,5296000,26,69,3616000.0
113,БУДЕТ СДАН В 2023,"ЖК «Мохито», г. Екатеринбург","[2661140, 5759080]",СТРОЙТЭК,г. Екатеринбург ул Тенистая,Комфорт класс,от 28 до 90 м2,Монолитный,2661140,5759080,28,90,4210110.0
114,БУДЕТ СДАН В 2023,"ЖК «Зеленый остров», г. Екатеринбург","[2014800, 5077800]",АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург ул. Татищева,Эконом класс,от 21 до 55 м2,Монолитный,2014800,5077800,21,55,3546300.0
115,БУДЕТ СДАН В 2022,"ЖК «Малахит», г. Екатеринбург","[1953000, 5207200]",АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург ул. 40-летия Комсомола,Эконом класс,от 20 до 56 м2,Панельный,1953000,5207200,20,56,3580100.0
116,БУДЕТ СДАН В 2021,"ЖК Residence, г. Верхняя Пыжма","[2180000, 5930000]",ГК «АктивСтройСервис»,г. Верхняя Пышма ул Кривоусова 14А,Бизнес класс,от 34 до 104 м2,Монолитный,2180000,5930000,34,104,4055000.0
117,БУДЕТ СДАН В 2021,"ЖК «Парк Столиц», г. Екатеринбург",Продано,ГК «Атлас Девелопмент»,г. Екатеринбург ул. Белинского 163А,Бизнес класс,от 51 до 139 м2,276 квартир,0,0,51,139,0.0
118,БУДЕТ СДАН В 2021,"ЖК «7 ключей», г. Екатеринбург","[1839780, 3503950]",ООО «Эфес»,г. Екатеринбург ул. Техническая,Комфорт класс,от 21 до 81 м2,Монолитно-кирпичный,1839780,3503950,21,81,2671865.0
119,СДАН В 2019,"ЖК «Сказы Бажова», г. Екатеринбург","[2365000, 7100000]",ГК «Ривьера Инвест Екатеринбург»,г. Екатеринбург ул. Щербакова 74,Комфорт класс,от 28 до 73 м2,Монолитно-кирпичный,2365000,7100000,28,73,4732500.0
120,СДАН В 2019,"ЖК «Сахаров», г. Екатеринбург",[5950000],АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург пр. Академика Сахарова,Комфорт класс,от 41 до 90 м2,Монолитный,5950000,0,41,90,5950000.0
121,СДАН В 2019,"ЖК «Седьмое небо», г. Екатеринбург","[6950000, 20000000]",ГК «Астра»,г. Екатеринбург ул. Гурзуфская 11,Комфорт класс,от 40 до 224 м2,Монолитно-кирпичный,6950000,20000000,40,224,13475000.0
122,СДАН В 2019,"ЖК «Ольховский парк», г. Екатеринбург",Продано,Холдинг «Форум-групп»,"г. Екатеринбург ул. Колмогорова УГАПС, 283 м",Комфорт класс,от 39 до 128 м2,Кирпичный,0,0,39,128,0.0
123,СДАН В 2019,"ЖК «Родник», г. Екатеринбург","[4075400, 6146400]",ГК «Скон»,г. Екатеринбург ул. Академика Постовского 17А,Комфорт класс,от 32 до 126 м2,Монолитно-кирпичный,4075400,6146400,32,126,5110900.0
124,СДАН В 2019,"ЖК «Стрелки», г. Екатеринбург","[4919000, 5100000]",ГК «Скон»,г. Екатеринбург ул. Стрелочников 2,Эконом класс,от 26 до 121 м2,Монолитно-кирпичный,4919000,5100000,26,121,5009500.0
125,СДАН В 2019,"ЖК NOVA Park («Нова Парк»), г. Екатеринбург","[2720000, 6200000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Хрустальногорская 83,Комфорт класс,от 27 до 136 м2,Монолитный,2720000,6200000,27,136,4460000.0
126,СДАН В 2019,"ЖК «Ударник», г. Екатеринбург",Продано,АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Бакинских Комиссаров 93,Комфорт класс,от 41 до 90 м2,Монолитный,0,0,41,90,0.0
127,СДАН В 2019,"ЖК «Дом на ул. Александра Козицына, 14», г. Верхняя Пышма","[2740000, 3300000]",ГК «Астра»,г. Верхняя Пышма ул. Александра Козицына 14,Комфорт класс,от 30 до 69 м2,Монолитный,2740000,3300000,30,69,3020000.0
128,СДАН В 2019,"ЖК «Облака», г. Екатеринбург","[7700000, 10000000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Цвиллинга 58,Комфорт класс,от 31 до 93 м2,Монолитный,7700000,10000000,31,93,8850000.0
129,СДАН В 2019,"ЖК «Восход», г. Екатеринбург","[2500000, 7100000]",Группа ЛСР (LSR),г. Екатеринбург ул. 40-летия Комсомола 24,Эконом класс,от 26 до 72 м2,Монолитный,2500000,7100000,26,72,4800000.0
130,СДАН В 2019,"ЖК «Рощинский», г. Екатеринбург","[3006740, 5005140]",Корпорация «Маяк»,г. Екатеринбург ул Патриотов 6/4,Комфорт класс,от 43 до 90 м2,Монолитный,3006740,5005140,43,90,4005940.0
131,СДАН В 2019,"ЖК «Перемена», г. Екатеринбург","[2400000, 4880000]",ООО «Синара-Девелопмент»,г. Екатеринбург ул. Евгения Саввкова 4,Комфорт класс,от 29 до 66 м2,Монолитно-каркасный,2400000,4880000,29,66,3640000.0
132,СДАН В 2019,"ЖК «Оазис», г. Екатеринбург","[3870000, 4257000]",ЗАО «Среднеуральская строительная компания (ССК)»,г. Екатеринбург ул Старых Большевиков 3В,Эконом класс,от 37 до 82 м2,Монолитный,3870000,4257000,37,82,4063500.0
133,СДАН В 2019,"ЖК «Вернисаж», г. Екатеринбург","[9001650, 15666000]",СТРОЙТЭК,"г. Екатеринбург ул Куйбышева 41 УГГГА, 164 м",Комфорт класс,от 55 до 150 м2,Монолитный,9001650,15666000,55,150,12333825.0
134,СДАН В 2019,"ЖК «Репин Парк», г. Екатеринбург","[4390000, 9900000]",ГК «Астон»,г. Екатеринбург ул. Заводская 73,Комфорт класс,от 37 до 93 м2,Монолитно-каркасный,4390000,9900000,37,93,7145000.0
135,СДАН В 2018,"ЖК «Кандинский», г. Екатеринбург","[14800000, 35000000]",Брусника,"г. Екатеринбург ул. Гоголя 18 РЭА, 184 м",Бизнес класс,от 50 до 159 м2,Монолитно-каркасный,14800000,35000000,50,159,24900000.0
136,СДАН В 2018,"ЖК «Три Д-клуб», Ленинский р-н, г. Екатеринбург","[2600000, 4525000]",СК «Метеорит»,г. Екатеринбург ул. Братская 27,Бизнес класс,от 40 до 95 м2,Монолитно-кирпичный,2600000,4525000,40,95,3562500.0
137,СДАН В 2018,"ЖК «Гелиос», г. Заречный","[1821030, 3333360]",ГК «Солнечный дом»,г. Заречный ул. Победы 7,Эконом класс,от 29 до 75 м2,Монолитно-кирпичный,1821030,3333360,29,75,2577195.0
138,СДАН В 2018,"ЖК «Альпы», г. Екатеринбург",Продано,ГК «Астра»,г. Екатеринбург ул Инженерная 61,Комфорт класс,от 30 до 86 м2,Монолитно-кирпичный,0,0,30,86,0.0
139,СДАН В 2018,"ЖК «Золотая горка», д. Коптяки",Продано,ООО «Золотая горка»,г. Среднеуральск ул. Высокая 1,Комфорт класс,от 40 до 248 м2,Блочный,0,0,40,248,0.0
140,СДАН В 2018,"ЖК «Маэстро», г. Екатеринбург","[2793000, 5484800]",ЗАО «Желдорипотека»,г. Екатеринбург ул. Среднеуральская 9,Комфорт класс,от 39 до 85 м2,Монолитный,2793000,5484800,39,85,4138900.0
141,СДАН В 2018,"ЖК «Рябина-парк», г. Березовский","[1470000, 2350000]",ГК «АктивСтройСервис»,г. Березовский ул. Новая 20,Эконом класс,от 22 до 45 м2,Монолитный,1470000,2350000,22,45,1910000.0
142,СДАН В 2018,"ЖК «Успенский», г. Верхняя Пышма","[2170000, 4900000]",ГК «АктивСтройСервис»,г. Верхняя Пышма пр. Успенский д. 113Б,Комфорт класс,от 34 до 87 м2,Монолитный,2170000,4900000,34,87,3535000.0
143,СДАН В 2018,"ЖК «Первый Николаевский», г. Екатеринбург",[10792500],PRINZIP,г. Екатеринбург ул. Готвальда 22,Комфорт класс,от 29 до 114 м2,Монолитный,10792500,0,29,114,10792500.0
144,СДАН В 2018,"Квартал «Новаторов», г. Екатеринбург","[3750000, 4700000]",Брусника,г. Екатеринбург ул Новаторов 8,Комфорт класс,от 26 до 130 м2,Монолитный,3750000,4700000,26,130,4225000.0
145,СДАН В 2018,"ЖК «Альфа», г. Екатеринбург","[3300000, 5500000]",Формула Строительства,г. Екатеринбург пер. Цветочный 16,Комфорт класс,от 27 до 77 м2,Монолитно-кирпичный,3300000,5500000,27,77,4400000.0
146,СДАН В 2018,"ЖК «Эверест», г. Екатеринбург","[5100000, 18000000]",TEN,г. Екатеринбург ул. Горького 69/1,Элит класс,от 32 до 229 м2,Кирпичный,5100000,18000000,32,229,11550000.0
147,СДАН В 2018,"ЖК «Смородина», Верх-Исетский р-н, г. Екатеринбург",Продано,АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул Тенистая,Эконом класс,от 33 до 90 м2,Монолитный,0,0,33,90,0.0
148,СДАН В 2018,"Жилой дом по ул. Расточная, Железнодорожный р-н, г. Екатеринбург",Продано,АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург ул Расточная,Эконом класс,от 42 до 83 м2,(4),0,0,42,83,0.0
149,СДАН В 2018,"ЖК «Калиновский», Орджоникидзевский р-н, г. Екатеринбург",Продано,АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург,Эконом класс,от 38 до 88 м2,(12),0,0,38,88,0.0
150,СДАН В 2017,"ЖК «Лазурный», г. Верхняя Пышма",Продано,ГК «Урал Магистраль»,г. Верхняя Пышма ул. Огнеупорщиков 4,Комфорт класс,от 34 до 196 м2,Кирпичный,0,0,34,196,0.0
151,СДАН В 2017,"ЖК «Мельковский», г. Екатеринбург","[4499000, 12590000]",ООО «Стройкор»,г. Екатеринбург ул. Челюскинцев 57,Комфорт класс,от 35 до 159 м2,Монолитно-кирпичный,4499000,12590000,35,159,8544500.0
152,СДАН В 2017,"ЖК «Стрижи», г. Арамиль","[2550000, 4000000]",ООО СК «СУ-22»,Сысертский р-н г. Арамиль ул. Мира 1Б,Комфорт класс,от 31 до 91 м2,Монолитно-кирпичный,2550000,4000000,31,91,3275000.0
153,СДАН В 2017,"ЖК «Октава», Чкаловский р-н, г. Екатеринбург","[2850000, 12000000]",TEN,г. Екатеринбург ул. Крестинского 35,Комфорт класс,от 22 до 89 м2,Монолитно-кирпичный,2850000,12000000,22,89,7425000.0
154,СДАН В 2017,"ЖК «Прибрежный», г. Среднеуральск","[2040000, 5000000]",Холдинг «Форум-групп»,г. Среднеуральск ул. Набережная 1А,Эконом класс,от 30 до 81 м2,Монолитный,2040000,5000000,30,81,3520000.0
155,СДАН В 2017,"ЖК «Белорецкий», г. Екатеринбург","[4400000, 8000000]",Формула Строительства,г. Екатеринбург ул Степана Разина 107,Комфорт класс,от 35 до 90 м2,Монолитный,4400000,8000000,35,90,6200000.0
156,СДАН В 2017,"ЖК «Арбатский», г. Екатеринбург","[6812080, 6935940]",ООО «Проспект Девелопмент»,г. Екатеринбург ул. Московская 75,Комфорт класс,от 38 до 100 м2,Монолитно-кирпичный,6812080,6935940,38,100,6874010.0
